名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
アールエイジ,マザーズ,不動産業,不動産 ,4140,472,424,266,8577,2584,167,5164,2500,30.1,10.73,3.2,3181000
総医研ホールディングス,マザーズ,サービス業,情報通信・サービスその他 ,4147,264,271,186,5541,4368,1836,50,15904,78.8,4.33,3.55,26158200
夢の街創造委員会,東証JQS,情報・通信業,情報通信・サービスその他 ,4154,572,579,347,4066,2317,1113,548,79104,57,15.58,9.68,44390400
JMACS,東証2部,非鉄金属,鉄鋼・非鉄 ,4156,5,54,30,6879,4626,647,964,4011,67.2,0.65,0.44,4691555
ベステラ,東証1部,建設業,建設・資材 ,4182,397,404,271,4222,2183,412,650,16870,51.7,12.8,7.28,8326800
ベネフィットジャパン,マザーズ,情報・通信業,情報通信・サービスその他 ,4189,681,660,455,3344,2454,606,183,6006,73.4,20.45,14.03,5854050
キムラタン,東証1部,繊維製品,素材・化学 ,4199,-293,-320,-327,2341,1309,1303,656,5341,55.9,-22.45,-12.69,890093101
クロスフォー,東証JQS,その他製品,情報通信・サービスその他 ,4211,815,792,557,5498,2692,681,2286,9000,49,30.21,13.13,8729000
バナーズ,東証2部,小売業,小売 ,4218,200,199,194,7319,2821,307,2268,4067,38.5,7.03,2.74,20236086
キャピタル・アセット・プランニング,東証JQS,情報・通信業,情報通信・サービスその他 ,4242,248,249,150,2495,862,153,1113,6105,34.5,18.76,6.27,2621448
日創プロニティ,福岡Q,金属製品,建設・資材 ,4270,602,614,389,9452,7407,1176,1032,5579,78.4,5.25,4.12,7360000
アクアライン,マザーズ,サービス業,情報通信・サービスその他 ,4306,342,339,219,1766,953,253,203,4505,54,25.67,13.11,1951200
ODKソリューションズ,東証JQS,情報・通信業,情報通信・サービスその他 ,4311,162,183,121,6473,4158,637,899,3264,64.2,2.98,1.97,8200000
フォーシーズホールディングス,東証2部,小売業,小売 ,4311,277,260,122,3211,1275,882,1473,3487,39.7,10.05,4,6973470
あかつき本社,東証2部,証券、商品先物取引業,金融（除く銀行） ,4312,-458,421,239,27868,7870,3574,7086,8640,28.2,3.08,0.96,18661175
光陽社,東証2部,その他製品,情報通信・サービスその他 ,4315,122,143,932,4428,2003,1928,763,2338,45.2,60.64,23.77,14001000
ランド,東証1部,不動産業,不動産 ,4331,828,787,864,4415,2199,7494,1364,11092,49.8,67.55,30.38,652474000
ベルグアース,東証JQS,水産・農林業,食品 ,4395,-98,-91,13,3727,1212,331,1394,1777,32.5,1.07,0.34,1269900
イード,マザーズ,サービス業,情報通信・サービスその他 ,4399,87,90,-437,3715,2544,862,110,4738,68.5,-15.72,-11,4961400
レカム,東証JQS,卸売業,商社・卸売 ,4421,124,97,54,2602,1420,932,305,6309,54.6,4.68,2.3,60081900
セック,東証2部,情報・通信業,情報通信・サービスその他 ,4424,433,456,314,6087,5122,477,36,11945,84.1,6.25,5.22,5120000
ディー・エル・イー,東証1部,情報・通信業,情報通信・サービスその他 ,4427,-895,-916,-1801,6150,1889,1520,2389,9312,30.7,-95.34,-29.28,20242400
多摩川ホールディングス,東証JQS,電気機器,電機・精密 ,4443,189,106,44,7446,3260,1677,1599,4814,43.8,1.35,0.6,42598000
バーチャレクス・コンサルティング,マザーズ,サービス業,情報通信・サービスその他 ,4448,226,223,121,2798,975,597,941,2300,34.8,14.72,5.8,2937953
イーサポートリンク,東証JQS,サービス業,情報通信・サービスその他 ,4457,379,370,296,5405,3799,2721,367,5186,70.3,8.11,5.4,4424800
メディアリンクス,東証JQS,電気機器,電機・精密 ,4479,-497,-594,-924,4672,2614,1664,1373,2826,56,-30.19,-18.38,5675300
松尾電機,東証2部,電気機器,電機・精密 ,4484,-322,-306,-1209,6259,2691,2219,1350,2443,43,-36.85,-17.96,25720000
ホテル、ニューグランド,東証JQS,サービス業,情報通信・サービスその他 ,4484,-597,-601,-940,12499,7047,3455,2500,3490,56.4,-12.48,-7.59,1171280
助川電気工業,東証JQS,精密機器,電機・精密 ,4499,332,319,205,6331,3662,921,1360,4824,57.8,5.5,3.25,6710000
宮入バルブ製作所,東証2部,機械,機械 ,4514,117,111,199,7103,3927,1993,1022,5813,55.3,5.19,2.93,48849935
サイタホールディングス,福証,建設業,建設・資材 ,4516,186,239,134,5363,2077,942,1960,1289,38.7,6.7,2.62,6610000
理研コランダム,東証2部,ガラス・土石製品,建設・資材 ,4528,132,170,156,7001,4866,500,611,2550,69.5,3.19,2.22,10000000
創健社,東証JQS,卸売業,商社・卸売 ,4551,-15,-11,-16,2756,1016,920,847,1390,36.9,-1.55,-0.58,7055000
玉井商船,東証2部,海運業,運輸・物流 ,4557,-360,-451,-822,13985,4442,702,7455,1990,31.8,-16.99,-5.56,19320000
ITbook,マザーズ,情報・通信業,情報通信・サービスその他 ,4566,158,153,93,2707,847,1048,1172,8372,31.3,15,3.78,16710000
イー・ギャランティ,東証1部,その他金融業,金融（除く銀行） ,4577,2119,2152,1335,11733,7093,1515,5,32942,60.5,20.34,11.93,10524600
白鳩,東証JQS,小売業,小売 ,4595,179,160,102,3113,777,276,1593,2430,25,13.83,3.9,4820800
リアルワールド,マザーズ,情報・通信業,情報通信・サービスその他 ,4601,203,216,-89,3655,924,425,1291,4182,25.3,-8.64,-2.56,2740400
ランドビジネス,東証1部,不動産業,不動産 ,4603,930,387,390,52286,18439,4969,30036,8115,35.3,2.12,0.75,26780800
中央製作所,名証2部,電気機器,電機・精密 ,4610,31,72,102,4656,2052,503,740,1157,44.1,5.07,2.16,784300
パシフィックネット,東証2部,小売業,小売 ,4643,16,29,-6,3194,1829,432,892,2639,57.3,-0.32,-0.19,5175000
テックファームホールディングス,東証JQG,情報・通信業,情報通信・サービスその他 ,4668,165,161,26,5149,3824,1823,408,10097,74.3,0.88,0.58,7702000
日本アジア投資,東証1部,証券、商品先物取引業,金融（除く銀行） ,4681,739,540,564,25945,5294,5426,18333,7261,20.4,11.44,2.12,17884392
日宣,東証JQS,サービス業,情報通信・サービスその他 ,4690,375,418,259,4457,1996,320,1563,4379,44.8,15.12,6.14,1943500
ダイトウボウ,東証1部,繊維製品,素材・化学 ,4701,417,267,156,19093,4329,1500,9145,2520,22.7,3.62,0.82,30000000
カイノス,東証JQS,医薬品,医薬品 ,4703,474,468,309,5803,3642,831,1000,3141,62.8,8.84,5.28,4558860
関門海,東証2部,小売業,小売 ,4710,170,53,-17,4074,829,897,2711,5607,20.3,-2.89,-0.42,12058900
イトクロ,マザーズ,サービス業,情報通信・サービスその他 ,4712,1370,1376,889,5572,4390,30,94,57947,78.8,22.53,17.93,11340000
ファーマフーズ,東証2部,食料品,食品 ,4722,89,143,101,5843,3578,2031,1583,11207,61.2,2.86,1.96,29034200
アミタホールディングス,東証JQG,サービス業,情報通信・サービスその他 ,4729,77,53,-26,4230,568,474,1896,1305,13.4,-4.44,-0.62,1169424
フジタコーポレーション,東証JQS,小売業,小売 ,4732,-33,-84,-194,3668,62,555,3031,1198,1.7,-183.02,-5.05,1446400
ラ・アトレ,東証JQG,不動産業,不動産 ,4740,351,210,176,12241,1723,382,8899,3195,14.1,10.61,1.94,4930000
アジュバンコスメジャパン,東証1部,化学,素材・化学 ,4771,519,528,330,5783,4541,757,104,7649,78.5,7.35,5.85,7959600
パイプドHD,東証1部,情報・通信業,情報通信・サービスその他 ,4802,845,864,404,5064,2085,500,1921,10290,41.2,20.65,9.16,8102464
KYCOMホールディングス,東証JQS,情報・通信業,情報通信・サービスその他 ,4814,158,163,54,4670,2024,1612,1715,1693,43.3,2.7,1.11,5115492
和井田製作所,東証JQS,機械,機械 ,4821,302,312,189,8334,5618,843,1604,4118,67.4,3.4,2.2,7028000
MIEコーポレーション,名証2部,金属製品,建設・資材 ,4833,172,116,90,5356,755,500,3086,1052,14.1,12.69,1.69,12090000
日本エンタープライズ,東証1部,情報・通信業,情報通信・サービスその他 ,4838,192,229,99,6178,4956,1104,307,10304,80.2,1.98,1.62,40567200
アズジェント,東証JQS,情報・通信業,情報通信・サービスその他 ,4841,337,332,312,2842,1738,771,200,12020,61.2,19.73,12.36,3815734
日本和装ホールディングス,東証2部,サービス業,情報通信・サービスその他 ,4841,323,250,174,6340,2377,459,3194,2611,37.5,7.54,2.75,9002000
ザッパラス,東証1部,情報・通信業,情報通信・サービスその他 ,4846,294,298,134,8439,7841,1476,120,5774,92.9,1.72,1.59,13651000
タイセイ,マザーズ,卸売業,商社・卸売 ,4853,162,202,163,4166,1972,640,1316,4685,47.3,8.53,4.06,3663171
北川精機,東証JQS,機械,機械 ,4855,422,378,311,6366,1261,1335,2722,3611,19.8,30.63,5.06,7649600
ウィル,東証2部,不動産業,不動産 ,4881,673,657,437,4187,2137,269,1374,4093,51,22.08,11.04,11308000
アイロムグループ,東証1部,サービス業,情報通信・サービスその他 ,4890,212,272,204,8518,4323,3384,1961,18126,50.8,5.13,2.82,11493665
かんなん丸,東証JQS,小売業,小売 ,4905,35,40,-65,3939,3309,275,50,8072,84,-1.93,-1.61,4351308
丸八倉庫,東証2部,倉庫・運輸関連業,運輸・物流 ,4907,653,635,480,14065,9685,2527,2212,6278,68.9,5.05,3.59,7300000
